City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Arraial Do Cabo,BR,2022-06-12 22:42:49,-22.9661,-42.0278,67.86,68,75,13.8
248,Sao Jose Da Coroa Grande,BR,2022-06-12 22:42:49,-8.8978,-35.1478,76.64,84,7,5.57
249,Awbari,LY,2022-06-12 22:42:50,26.5921,12.7805,81.0,22,0,6.64
250,Karratha,AU,2022-06-12 22:42:50,-20.7377,116.8463,72.36,62,41,9.26
251,Blagodatnoye,RU,2022-06-12 22:42:51,45.3997,42.5867,65.32,48,92,7.0
252,Roald,NO,2022-06-12 22:42:51,62.5833,6.1333,55.99,87,100,17.27
253,Honningsvag,NO,2022-06-12 22:42:52,70.9821,25.9704,42.55,87,100,26.46
254,Nome,US,2022-06-12 22:42:52,64.5011,-165.4064,51.17,57,100,10.36
255,Saint-Georges,GD,2022-06-12 22:39:57,12.0564,-61.7485,82.08,78,20,21.85
256,Arman,RU,2022-06-12 22:42:53,59.7,150.1667,46.02,79,27,5.3
257,Bredasdorp,ZA,2022-06-12 22:42:53,-34.5322,20.0403,62.64,53,100,12.19
258,Honiara,SB,2022-06-12 22:42:54,-9.4333,159.95,84.13,62,16,3.89
259,Lauf,DE,2022-06-12 22:42:54,48.65,8.1333,66.09,90,100,9.22
260,Narsaq,GL,2022-06-12 22:42:54,60.9167,-46.05,48.42,93,99,3.02
261,Poya,NC,2022-06-12 22:42:55,-21.35,165.15,74.35,79,100,4.32
262,Brookhaven,US,2022-06-12 22:42:55,31.5791,-90.4407,91.06,57,21,4.27
263,Matamoros,MX,2022-06-12 22:42:56,25.5333,-103.25,98.53,15,1,12.57
264,Stornoway,GB,2022-06-12 22:42:56,58.2093,-6.3865,51.93,84,100,12.66
265,Cristalina,BR,2022-06-12 22:40:00,-16.7686,-47.6136,61.36,65,71,4.97
266,Bardiyah,LY,2022-06-12 22:42:57,31.7561,25.0865,71.67,89,9,16.15
267,Waingapu,ID,2022-06-12 22:42:57,-9.6567,120.2641,75.13,77,85,8.75
268,Berlevag,NO,2022-06-12 22:42:58,70.8578,29.0864,44.55,70,100,20.71
269,Gitarama,RW,2022-06-12 22:42:58,-2.0744,29.7567,63.09,90,51,3.29
270,Talaya,RU,2022-06-12 22:42:58,61.3833,152.75,49.89,60,100,2.66
271,Omagh,GB,2022-06-12 22:42:59,54.6,-7.3,47.89,95,83,6.93
272,Coahuayana,MX,2022-06-12 22:42:59,18.7333,-103.6833,88.54,60,20,7.07
273,Pevek,RU,2022-06-12 22:43:00,69.7008,170.3133,38.28,66,68,7.23
274,Cochrane,CA,2022-06-12 22:43:00,51.1834,-114.4687,64.2,55,100,8.05
275,Richards Bay,ZA,2022-06-12 22:43:01,-28.783,32.0377,60.42,67,0,9.86
276,Puerto Ayacucho,VE,2022-06-12 22:43:01,5.6639,-67.6236,71.47,97,100,2.37
277,Vanimo,PG,2022-06-12 22:43:02,-2.6741,141.3028,79.45,86,33,6.08
278,Wagar,SD,2022-06-12 22:44:02,16.1525,36.2032,94.19,26,1,8.9
279,Bilibino,RU,2022-06-12 22:44:03,68.0546,166.4372,62.29,36,22,2.44
280,Itarema,BR,2022-06-12 22:44:04,-2.9248,-39.9167,77.0,83,39,8.95
281,College,US,2022-06-12 22:44:04,64.8569,-147.8028,66.99,50,100,1.01
282,Meulaboh,ID,2022-06-12 22:44:05,4.1363,96.1285,75.78,82,100,4.45
283,West Des Moines,US,2022-06-12 22:41:43,41.572,-93.7453,89.19,63,75,10.36
284,Jiaojiang,CN,2022-06-12 22:44:06,28.6803,121.4428,69.01,97,100,2.24
285,Mao,ES,2022-06-12 22:44:07,39.8885,4.2658,68.56,88,0,5.75
286,Fez,MA,2022-06-12 22:44:07,34.0372,-4.9998,93.45,18,75,25.32
287,Tecoanapa,MX,2022-06-12 22:44:08,16.5167,-98.75,84.38,67,13,9.84
288,Kieta,PG,2022-06-12 22:40:25,-6.2167,155.6333,83.84,70,25,5.57
289,Iracoubo,GF,2022-06-12 22:44:08,5.4802,-53.2011,78.24,85,10,6.87
290,Simpang,ID,2022-06-12 22:44:09,-1.2667,104.0833,73.29,98,100,2.8
291,Barrow,US,2022-06-12 22:44:09,71.2906,-156.7887,30.22,80,100,4.61
292,Znamenka,RU,2022-06-12 22:44:10,52.4167,41.4311,54.73,90,0,7.16
